ID_participante;Gender;Age;Income;Goal;Career;Decision;Attractiveness;Sincerity;Intelligence;Fun;Ambition;Shared Interests;Like;Probability of interest;Met Before
1;0;21;69487;2;lawyer;1;6;9;7;7;6;5;7;6;2
2;0;21;69487;2;lawyer;1;7;8;7;8;5;6;7;5;1
3;0;21;69487;2;lawyer;1;5;8;9;8;5;7;7;NA;1
4;0;21;69487;2;lawyer;1;7;6;8;7;6;8;7;6;2
5;0;21;69487;2;lawyer;1;5;6;7;7;6;6;6;6;2
6;0;21;69487;2;lawyer;0;4;9;7;4;6;4;6;5;2
7;0;21;69487;2;lawyer;1;7;6;7;4;6;7;6;5;2
8;0;21;69487;2;lawyer;0;4;9;7;6;5;6;6;7;NA
9;0;21;69487;2;lawyer;1;7;6;8;9;8;8;7;7;2
10;0;21;69487;2;lawyer;1;5;6;6;8;10;8;6;6;2
11;0;24;65929;1;law;0;5;7;8;4;6;3;6;4;2
12;0;24;65929;1;law;0;8;5;6;6;9;6;7;3;2
13;0;24;65929;1;law;0;5;8;9;6;3;4;6;7;2
14;0;24;65929;1;law;1;7;9;7;6;5;7;7;8;2
15;0;24;65929;1;law;0;6;8;7;9;7;8;8;6;1
16;0;24;65929;1;law;0;8;7;8;3;6;2;6;5;2
17;0;24;65929;1;law;1;7;5;9;6;7;9;8;7;2
18;0;24;65929;1;law;0;5;8;7;5;9;5;5;6;2
19;0;24;65929;1;law;1;7;6;8;9;4;5;5;6;2
20;0;24;65929;1;law;1;6;7;8;7;9;8;8;7;2
21;0;25;NA;6;Economist;0;7;9;10;7;8;9;8;7;1
22;0;25;NA;6;Economist;0;9;7;9;8;9;7;8;7;2
23;0;25;NA;6;Economist;0;7;9;9;7;9;7;8;7;2
24;0;25;NA;6;Economist;0;9;7;9;7;9;7;8;7;2
25;0;25;NA;6;Economist;0;9;10;10;10;10;10;9;NA;2
26;0;25;NA;6;Economist;0;8;10;10;7;9;9;8;NA;2
27;0;25;NA;6;Economist;0;8;9;10;7;7;9;8;7;2
28;0;25;NA;6;Economist;0;7;9;9;8;9;7;8;7;2
29;0;25;NA;6;Economist;0;9;9;9;9;9;9;9;7;2
30;0;25;NA;6;Economist;0;8;7;9;7;9;7;8;7;2
31;0;23;37754;1;lawyer/policy work;0;4;10;8;5;8;7;6;7;2
32;0;23;37754;1;lawyer/policy work;0;8;7;8;10;7;8;8;1;1
33;0;23;37754;1;lawyer/policy work;0;4;7;8;8;6;7;4;1;2
34;0;23;37754;1;lawyer/policy work;1;8;10;7;10;7;10;8;10;1
35;0;23;37754;1;lawyer/policy work;0;6;9;8;9;8;9;7;7;2
36;0;23;37754;1;lawyer/policy work;0;5;10;8;4;8;2;4;3;2
37;0;23;37754;1;lawyer/policy work;0;7;10;10;7;10;5;5;1;2
38;0;23;37754;1;lawyer/policy work;0;5;9;9;5;9;7;6;6;2
39;0;23;37754;1;lawyer/policy work;1;9;8;10;10;7;8;8;8;2
40;0;23;37754;1;lawyer/policy work;1;8;9;10;10;8;8;10;8;2
41;0;21;86340;2;lawyer;0;5;8;8;2;2;2;7;5;2
42;0;21;86340;2;lawyer;0;8;6;6;5;5;5;6;4;1
43;0;21;86340;2;lawyer;0;4;6;8;8;6;5;6;5;1
44;0;21;86340;2;lawyer;1;8;5;5;7;7;9;8;2;1
45;0;21;86340;2;lawyer;0;6;7;7;5;4;8;7;4;2
46;0;21;86340;2;lawyer;1;5;6;7;5;7;8;7;3;2
47;0;21;86340;2;lawyer;1;6;6;8;5;5;6;6;3;2
48;0;21;86340;2;lawyer;1;5;5;7;6;7;5;6;4;2
49;0;21;86340;2;lawyer;1;7;5;7;8;7;9;9;4;2
50;0;21;86340;2;lawyer;1;9;6;7;9;6;5;10;3;2
51;0;23;60304;1;lawyer;1;6;9;7;6;7;6;6;6;2
52;0;23;60304;1;lawyer;1;6;9;9;6;8;2;7;6;2
53;0;23;60304;1;lawyer;0;4;7;9;4;3;2;6;2;1
54;0;23;60304;1;lawyer;1;8;6;7;8;2;8;9;4;2
55;0;23;60304;1;lawyer;0;5;4;8;8;4;2;4;3;1
56;0;23;60304;1;lawyer;0;3;7;6;1;1;1;2;2;2
57;0;23;60304;1;lawyer;1;8;8;8;8;3;4;8;7;2
58;0;23;60304;1;lawyer;0;4;8;9;2;8;3;5;5;2
59;0;23;60304;1;lawyer;1;7;6;8;8;6;9;9;6;2
60;0;23;60304;1;lawyer;1;8;9;9;9;10;7;9;8;2
61;0;22;54620;1;Law;0;4;8;8;5;7;4;7;4;2
62;0;22;54620;1;Law;0;6;6;8;4;9;4;7;3;1
63;0;22;54620;1;Law;0;3;6;8;7;8;8;7;8;1
64;0;22;54620;1;Law;1;7;8;8;7;7;6;8;6;1
65;0;22;54620;1;Law;0;4;7;7;4;8;5;5;6;1
66;0;22;54620;1;Law;0;4;8;7;4;5;4;5;5;2
67;0;22;54620;1;Law;1;7;7;8;7;7;7;8;7;2
68;0;22;54620;1;Law;0;5;7;8;5;9;5;5;7;2
69;0;22;54620;1;Law;1;6;6;8;8;8;6;6;6;2
70;0;22;54620;1;Law;1;8;6;7;7;8;6;7;5;2
71;0;25;NA;1;Journalist;1;5;8;7;4;7;5;4;5;2
72;0;25;NA;1;Journalist;1;8;7;7;9;6;7;8;7;2
73;0;25;NA;1;Journalist;1;5;8;8;6;7;7;5;5;2
74;0;25;NA;1;Journalist;1;8;6;5;6;6;5;5;6;2
75;0;25;NA;1;Journalist;1;6;8;8;5;6;7;6;5;2
76;0;25;NA;1;Journalist;1;6;8;8;5;6;7;6;5;2
77;0;25;NA;1;Journalist;1;6;7;8;5;7;7;6;6;2
78;0;25;NA;1;Journalist;1;5;6;7;4;5;6;5;4;2
79;0;25;NA;1;Journalist;1;8;8;5;9;8;9;7;10;2
80;0;25;NA;1;Journalist;1;7;6;8;7;9;8;8;7;2
81;0;26;NA;1;Congresswoman, and comedian;1;8;10;9;8;7;6;5;5;2
82;0;26;NA;1;Congresswoman, and comedian;1;10;10;10;10;10;10;10;5;2
83;0;26;NA;1;Congresswoman, and comedian;1;5;10;10;6;6;6;8;5;2
84;0;26;NA;1;Congresswoman, and comedian;1;10;9;8;8;7;7;7;5;2
85;0;26;NA;1;Congresswoman, and comedian;1;5;10;8;8;5;5;5;5;2
86;0;26;NA;1;Congresswoman, and comedian;1;8;9;9;7;6;5;6;5;2
87;0;26;NA;1;Congresswoman, and comedian;1;6;8;9;6;6;6;7;5;2
88;0;26;NA;1;Congresswoman, and comedian;1;6;7;8;7;9;6;7;5;2
89;0;26;NA;1;Congresswoman, and comedian;1;8;5;5;6;5;5;7;6;2
90;0;26;NA;1;Congresswoman, and comedian;1;7;8;7;8;7;8;8;5;2
91;0;26;48652;2;To create early childhood intervention programs;0;6;10;10;6;6;NA;6;3;2
92;0;26;48652;2;To create early childhood intervention programs;0;1;1;1;1;1;NA;1;1;1
93;0;26;48652;2;To create early childhood intervention programs;1;6;10;10;10;6;NA;7;6;2
94;0;26;48652;2;To create early childhood intervention programs;0;10;10;10;10;10;NA;10;1;1
95;0;26;48652;2;To create early childhood intervention programs;0;5;7;7;7;7;NA;6;1;2
96;0;26;48652;2;To create early childhood intervention programs;0;5;10;6;4;6;NA;6;1;2
97;0;26;48652;2;To create early childhood intervention programs;1;5;10;8;6;9;NA;7;1;2
98;0;26;48652;2;To create early childhood intervention programs;0;5;6;6;4;5;NA;5;5;2
99;0;26;48652;2;To create early childhood intervention programs;1;9;9;9;9;9;9;9;9;2
100;0;26;48652;2;To create early childhood intervention programs;1;9;9;8;10;8;8;9;10;2
101;1;27;NA;1;Academia, Research, Banking, Life;0;6;8;8;8;8;6;7;4;2
102;1;27;NA;1;Academia, Research, Banking, Life;0;8;7;6;9;7;4;7;2;2
103;1;27;NA;1;Academia, Research, Banking, Life;0;7;8;6;5;8;4;5;2;1
104;1;27;NA;1;Academia, Research, Banking, Life;0;6;7;8;7;7;5;6;3;2
105;1;27;NA;1;Academia, Research, Banking, Life;0;6;8;8;8;7;6;6;5;2
106;1;27;NA;1;Academia, Research, Banking, Life;0;7;9;8;9;8;4;7;4;2
107;1;27;NA;1;Academia, Research, Banking, Life;0;7;8;8;8;7;7;7;4;2
108;1;27;NA;1;Academia, Research, Banking, Life;0;8;7;6;6;6;5;7;4;2
109;1;27;NA;1;Academia, Research, Banking, Life;0;6;8;7;8;7;5;6;4;2
110;1;27;NA;1;Academia, Research, Banking, Life;0;7;8;7;8;6;5;6;3;2
111;1;22;29237;1;Corporate Lawyer;0;7;8;10;7;7;5;8;4;2
112;1;22;29237;1;Corporate Lawyer;0;7;6;10;6;6;5;8;4;2
113;1;22;29237;1;Corporate Lawyer;0;6;7;10;6;6;5;7;3;2
114;1;22;29237;1;Corporate Lawyer;0;6;5;10;6;6;5;6;3;1
115;1;22;29237;1;Corporate Lawyer;0;6;7;10;7;6;5;7;4;1
116;1;22;29237;1;Corporate Lawyer;0;6;8;10;6;7;6;7;4;2
117;1;22;29237;1;Corporate Lawyer;1;7;9;10;6;6;5;8;4;1
118;1;22;29237;1;Corporate Lawyer;1;8;8;10;7;6;5;9;4;2
119;1;22;29237;1;Corporate Lawyer;1;8;8;10;7;6;5;8;4;2
120;1;22;29237;1;Corporate Lawyer;0;1;1;1;1;1;1;1;1;2
121;1;22;NA;2;Lawyer;1;10;10;10;10;10;10;10;10;1
122;1;22;NA;2;Lawyer;1;10;10;10;10;10;10;10;10;2
123;1;22;NA;2;Lawyer;1;10;10;10;10;10;10;10;10;2
124;1;22;NA;2;Lawyer;1;10;10;10;10;10;10;10;10;NA
125;1;22;NA;2;Lawyer;1;10;10;10;10;10;10;10;10;1
126;1;22;NA;2;Lawyer;1;10;10;10;10;10;10;10;10;1
127;1;22;NA;2;Lawyer;1;10;10;10;10;10;10;10;10;NA
