ID_participante;Gender;Age;Income;Goal;Career;Decision;Attractiveness;Sincerity;Intelligence;Fun;Ambition;Shared Interests;Like;Probability of interest;Met Before
1;Female;21;69487;2;lawyer;Match;6;9;7;7;6;5;7;6;2
2;Female;21;69487;2;lawyer;Match;7;8;7;8;5;6;7;5;1
3;Female;21;69487;2;lawyer;Match;5;8;9;8;5;7;7;NA;1
4;Female;21;69487;2;lawyer;Match;7;6;8;7;6;8;7;6;2
5;Female;21;69487;2;lawyer;Match;5;6;7;7;6;6;6;6;2
6;Female;21;69487;2;lawyer;Not Match;4;9;7;4;6;4;6;5;2
7;Female;21;69487;2;lawyer;Match;7;6;7;4;6;7;6;5;2
8;Female;21;69487;2;lawyer;Not Match;4;9;7;6;5;6;6;7;NA
9;Female;21;69487;2;lawyer;Match;7;6;8;9;8;8;7;7;2
10;Female;21;69487;2;lawyer;Match;5;6;6;8;10;8;6;6;2
11;Female;24;65929;1;law;Not Match;5;7;8;4;6;3;6;4;2
12;Female;24;65929;1;law;Not Match;8;5;6;6;9;6;7;3;2
13;Female;24;65929;1;law;Not Match;5;8;9;6;3;4;6;7;2
14;Female;24;65929;1;law;Match;7;9;7;6;5;7;7;8;2
15;Female;24;65929;1;law;Not Match;6;8;7;9;7;8;8;6;1
16;Female;24;65929;1;law;Not Match;8;7;8;3;6;2;6;5;2
17;Female;24;65929;1;law;Match;7;5;9;6;7;9;8;7;2
18;Female;24;65929;1;law;Not Match;5;8;7;5;9;5;5;6;2
19;Female;24;65929;1;law;Match;7;6;8;9;4;5;5;6;2
20;Female;24;65929;1;law;Match;6;7;8;7;9;8;8;7;2
21;Female;25;NA;6;Economist;Not Match;7;9;10;7;8;9;8;7;1
22;Female;25;NA;6;Economist;Not Match;9;7;9;8;9;7;8;7;2
23;Female;25;NA;6;Economist;Not Match;7;9;9;7;9;7;8;7;2
24;Female;25;NA;6;Economist;Not Match;9;7;9;7;9;7;8;7;2
25;Female;25;NA;6;Economist;Not Match;9;10;10;10;10;10;9;NA;2
26;Female;25;NA;6;Economist;Not Match;8;10;10;7;9;9;8;NA;2
27;Female;25;NA;6;Economist;Not Match;8;9;10;7;7;9;8;7;2
28;Female;25;NA;6;Economist;Not Match;7;9;9;8;9;7;8;7;2
29;Female;25;NA;6;Economist;Not Match;9;9;9;9;9;9;9;7;2
30;Female;25;NA;6;Economist;Not Match;8;7;9;7;9;7;8;7;2
31;Female;23;37754;1;lawyer/policy work;Not Match;4;10;8;5;8;7;6;7;2
32;Female;23;37754;1;lawyer/policy work;Not Match;8;7;8;10;7;8;8;1;1
33;Female;23;37754;1;lawyer/policy work;Not Match;4;7;8;8;6;7;4;1;2
34;Female;23;37754;1;lawyer/policy work;Match;8;10;7;10;7;10;8;10;1
35;Female;23;37754;1;lawyer/policy work;Not Match;6;9;8;9;8;9;7;7;2
36;Female;23;37754;1;lawyer/policy work;Not Match;5;10;8;4;8;2;4;3;2
37;Female;23;37754;1;lawyer/policy work;Not Match;7;10;10;7;10;5;5;1;2
38;Female;23;37754;1;lawyer/policy work;Not Match;5;9;9;5;9;7;6;6;2
39;Female;23;37754;1;lawyer/policy work;Match;9;8;10;10;7;8;8;8;2
40;Female;23;37754;1;lawyer/policy work;Match;8;9;10;10;8;8;10;8;2
41;Female;21;86340;2;lawyer;Not Match;5;8;8;2;2;2;7;5;2
42;Female;21;86340;2;lawyer;Not Match;8;6;6;5;5;5;6;4;1
43;Female;21;86340;2;lawyer;Not Match;4;6;8;8;6;5;6;5;1
44;Female;21;86340;2;lawyer;Match;8;5;5;7;7;9;8;2;1
45;Female;21;86340;2;lawyer;Not Match;6;7;7;5;4;8;7;4;2
46;Female;21;86340;2;lawyer;Match;5;6;7;5;7;8;7;3;2
47;Female;21;86340;2;lawyer;Match;6;6;8;5;5;6;6;3;2
48;Female;21;86340;2;lawyer;Match;5;5;7;6;7;5;6;4;2
49;Female;21;86340;2;lawyer;Match;7;5;7;8;7;9;9;4;2
50;Female;21;86340;2;lawyer;Match;9;6;7;9;6;5;10;3;2
51;Female;23;60304;1;lawyer;Match;6;9;7;6;7;6;6;6;2
52;Female;23;60304;1;lawyer;Match;6;9;9;6;8;2;7;6;2
53;Female;23;60304;1;lawyer;Not Match;4;7;9;4;3;2;6;2;1
54;Female;23;60304;1;lawyer;Match;8;6;7;8;2;8;9;4;2
55;Female;23;60304;1;lawyer;Not Match;5;4;8;8;4;2;4;3;1
